year,co2,temperature_change_from_co2
1990,22732.145,0.67
1991,23205.592,0.683
1992,22520.424,0.696
1993,22749.873,0.708
1994,22974.598,0.721
1995,23516.639,0.734
1996,24233.477,0.748
1997,24380.322,0.762
1998,24295.713,0.776
1999,24837.771,0.79
2000,25511.482,0.804
2001,25692.994,0.817
2002,26265.332,0.831
2003,27652.691,0.847
2004,28610.023,0.862
2005,29598.951,0.878
2006,30594.152,0.894
2007,31499.256,0.91
2008,32049.66,0.927
2009,31513.014,0.943
2010,33317.672,0.961
2011,34479.988,0.979
2012,34954.734,0.997
2013,35275.82,1.015
2014,35465.695,1.033
2015,35403.527,1.052
2016,35392.832,1.07
2017,35974.609,1.088
2018,36734.004,1.106
2019,37086.566,1.124
2020,35158.23,1.142
2021,36866.863,1.16
2022,37527.773,1.179
2023,38094.039,1.197
2024,38598.578,1.216
